Method,valid,unique@1000,unique@10000,FCD/Test,SNN/Test,Frag/Test,Scaf/Test,FCD/TestSF,SNN/TestSF,Frag/TestSF,Scaf/TestSF,IntDiv,IntDiv2,Filters,logP_dis,logP_avg,SA_dis,SA_avg,QED_dis,QED_avg,weight_dis,weight_avg,Novelty
AIxFuse_init_rorgt,0.9974,1.0,1.0,12.315491086851061,0.41746756880399766,0.8003814390623363,0.013757758540818288,27.89081417460504,0.33579752982373895,0.771485129688898,0.0007254351806494919,0.8048221181559057,0.79144732300459,0.7356125927411269,0.6288177653294706,5.545107544616005,0.06996664781674886,3.639282091921538,0.13716345351945292,0.28288786639887364,51.00607788487953,599.2804500701825,1.0
AIxFuse_init_dhodh,0.9974,1.0,1.0,13.211039854359761,0.5300753274269541,0.928763886276304,0.18439439779161426,27.89081417460504,0.33579752982373895,0.771485129688898,0.0007254351806494919,0.8048221181559057,0.79144732300459,0.7356125927411269,1.2637304696044442,5.545107544616005,0.738130982916109,3.639282091921538,0.23303380592799847,0.28288786639887364,161.73334459760667,599.2804500701825,0.9990976539001404
AIxFuse_rorgt,1.0,0.953,0.9405,23.64892408769162,0.30873551165908575,0.6480948240699023,0.002586425614383381,32.92710563546691,0.3690148449778557,0.6856478374403105,6.828608737285968e-05,0.661074385305481,0.6449151488767253,0.8808,0.10545176330498138,4.9129678690000045,0.6105605584961891,2.999047960471115,0.016148529552664905,0.4241813947004961,46.31871988095561,512.0533845000001,1.0
AIxFuse_dhodh,1.0,0.953,0.9405,14.056649109236865,0.6045196684747934,0.8524830734729073,0.09988065334401341,32.92710563546691,0.3690148449778557,0.6856478374403105,6.828608737285968e-05,0.661074385305481,0.6449151488767253,0.8808,0.6313977119752078,4.9129678690000045,0.17333267821570697,2.999047960471115,0.09165926343062827,0.4241813947004961,74.40159276446285,512.0533845000001,0.9975544922913344
MARS_rorgt,1.0,0.222,0.0985,59.17648223510264,0.4105150830000639,0.19794348800588857,0.006672325916341815,60.47229112600686,0.39911539338082075,0.038596376060519466,0.0006579222144709185,0.5304563955224609,0.5045104162310103,0.9852,1.441698130865472,3.568728616000002,1.714360508782411,1.8822203915854345,0.40195834817611564,0.8148709351433646,291.16673808813977,267.1565469,1.0
MARS_dhodh,1.0,0.222,0.0985,48.981298019026994,0.37690726335346697,0.30360368772001045,0.2794877511287108,60.47229112600686,0.39911539338082075,0.038596376060519466,0.0006579222144709185,0.5304563955224609,0.5045104162310103,0.9852,0.8043142816859519,3.568728616000002,1.0197351365267324,1.8822203915854345,0.29903027701224033,0.8148709351433646,170.49524483553733,267.1565469,1.0
RationaleRL_rorgt,1.0,0.326,0.3371,38.212756151429446,0.44325654114484786,0.41064184857877617,0.0,45.172776499804336,0.40866439070403576,0.3027172641752037,0.0,0.6717706631506348,0.6341934035283698,0.8454,2.1970195921345317,7.207446339000005,1.2696469601960425,2.3269452772094152,0.10060587536244656,0.31433891365334304,73.83630719664527,484.5997477000001,1.0
RationaleRL_dhodh,1.0,0.326,0.3371,35.6088807227968,0.37206583994925024,0.3452743947867756,0.002651458942745988,45.172776499804336,0.40866439070403576,0.3027172641752037,0.0,0.6717706631506348,0.6341934035283698,0.8454,2.9258761819752084,7.207446339000005,0.5753786933567949,2.3269452772094152,0.20150174447778127,0.31433891365334304,46.947955964462786,484.5997477000001,1.0
JMC_rorgt,1.0,1.0,1.0,51.217207983457044,0.3794651709496975,0.608106020901133,0.0,52.75667898283208,0.47474313229322435,0.6870566979180094,0.0,0.4570552355051041,0.4299218396063311,1.0,0.3808397863436127,5.177069500000004,0.9844363141129282,2.613770951961476,0.18088771618022917,0.5937833102440744,94.84180590477806,464.02702500000015,1.0
JMC_dhodh,1.0,1.0,1.0,53.55976562198288,0.2968079812824726,0.4692702260666535,0.0,52.75667898283208,0.47474313229322435,0.6870566979180094,0.0,0.4570552355051041,0.4299218396063311,1.0,0.8954993429752085,5.177069500000004,0.3266464551884892,2.613770951961476,0.08338797100100734,0.5937833102440744,41.03858533057851,464.02702500000015,1.0
dhodh_rorgt,1.0,1.0,1.0,27.345749274679235,0.2832931289988116,0.7209306532727519,0.0018334199563926346,28.295456058819667,0.38798914262332207,0.7527107740969191,0.0003257731643317996,0.7750646412736544,0.7453603863874263,0.8504132231404958,0.7288565898406771,4.281570157024796,0.6946253722556784,2.901955528112167,0.10292807116387538,0.5158406581311243,120.67149325260246,437.65179173553736,1.0
dhodh_dhodh,1.0,1.0,1.0,1.6129320101754274e-12,1.0,1.0,1.0,28.295456058819667,0.38798914262332207,0.7527107740969191,0.0003257731643317996,0.7750646412736544,0.7453603863874263,0.8504132231404958,0.0,4.281570157024796,0.0,2.901955528112167,0.0,0.5158406581311243,0.0,437.65179173553736,0.0
ReINVENT_rorgt,0.9987,0.581,0.31470912185841593,39.075036717101085,0.44784730496624514,0.6232678618756108,0.031403331268434975,43.711413507282685,0.45549775067990256,0.5571212796992819,0.0006567719068757416,0.7084022509084172,0.6791358562804224,0.8264744167417643,0.3749242492349499,5.370411249624515,1.6407292932389903,1.955851607128855,0.22299703092070433,0.6359096178879533,181.37234096090435,376.95094402723544,0.9996818326439707
ReINVENT_dhodh,0.9987,0.581,0.31470912185841593,39.70664063264184,0.3706844785531696,0.5472108596926365,0.23168669612978043,43.711413507282685,0.45549775067990256,0.5571212796992819,0.0006567719068757416,0.7084022509084172,0.6791358562804224,0.8264744167417643,1.0888410925997185,5.370411249624515,0.946111960255615,1.955851607128855,0.1222648847289374,0.6359096178879533,61.11624859987418,376.95094402723544,1.0
rorgt_rorgt,1.0,0.988,0.9942392409352762,-8.384404281969182e-13,1.0,1.0,1.0,25.845785526357474,0.3484347545365405,0.8666673006267474,8.343182024828089e-05,0.8163986278965579,0.7946429618856621,0.7104371399525584,2.55829094118955e-18,5.010426746865473,0.0,3.596580900367845,5.173014770788279e-19,0.4129125869672489,3.7561730524762824e-16,558.3232849881398,0.00017041581458759374
rorgt_dhodh,1.0,0.988,0.9942392409352762,27.34574927466837,0.24962372018730627,0.7209306532727519,0.0018334199563926346,25.845785526357474,0.3484347545365405,0.8666673006267474,8.343182024828089e-05,0.8163986278965579,0.7946429618856621,0.7104371399525584,0.7288565898406771,5.010426746865473,0.6946253722556784,3.596580900367845,0.10292807116387538,0.4129125869672489,120.67149325260246,558.3232849881398,1.0
